Timestamp,CPU,MEMORY
25.11.2015 01:35:00,97,166
25.11.2015 01:40:00,106,163
25.11.2015 01:45:00,110,344
25.11.2015 01:50:00,110,188
25.11.2015 01:55:00,114,491
25.11.2015 02:00:00,113,237
25.11.2015 02:05:00,114,352
25.11.2015 02:10:00,120,196
25.11.2015 02:15:00,114,322
25.11.2015 02:20:00,120,215
25.11.2015 02:25:00,112,417
25.11.2015 02:30:00,115,180
25.11.2015 02:35:00,116,131
25.11.2015 02:40:00,119,98
25.11.2015 02:45:00,115,352
25.11.2015 02:50:00,127,207
25.11.2015 02:55:00,106,548
25.11.2015 03:00:00,117,221
25.11.2015 03:05:00,113,139
25.11.2015 03:10:00,112,120
25.11.2015 03:15:00,114,172
25.11.2015 03:20:00,120,150
25.11.2015 03:25:00,112,390
25.11.2015 03:30:00,133,283
25.11.2015 03:35:00,114,543
25.11.2015 03:40:00,113,218
25.11.2015 03:45:00,114,152
25.11.2015 03:50:00,119,172
25.11.2015 03:55:00,118,671
25.11.2015 04:00:00,123,295
25.11.2015 04:05:00,132,376
25.11.2015 04:10:00,149,606
25.11.2015 04:15:00,114,292
25.11.2015 04:20:00,121,185
25.11.2015 04:25:00,114,467
25.11.2015 04:30:00,121,226
25.11.2015 04:35:00,116,292
25.11.2015 04:40:00,113,199
25.11.2015 04:45:00,114,139
25.11.2015 04:50:00,121,152
25.11.2015 04:55:00,120,704
25.11.2015 05:00:00,122,344
25.11.2015 05:05:00,119,548
25.11.2015 05:10:00,121,223
25.11.2015 05:15:00,115,393
25.11.2015 05:20:00,121,180
25.11.2015 05:25:00,116,401
25.11.2015 05:30:00,120,139
25.11.2015 05:35:00,114,254
25.11.2015 05:40:00,120,221
25.11.2015 05:45:00,114,376
25.11.2015 05:50:00,114,213
25.11.2015 05:55:00,120,403
25.11.2015 06:00:00,115,166
25.11.2015 06:05:00,114,87
25.11.2015 06:10:00,113,133
25.11.2015 06:15:00,114,111
25.11.2015 06:20:00,122,147
25.11.2015 06:25:00,113,324
25.11.2015 06:30:00,123,180
25.11.2015 06:35:00,114,354
25.11.2015 06:40:00,113,152
25.11.2015 06:45:00,115,114
25.11.2015 06:50:00,121,185
25.11.2015 06:55:00,119,546
25.11.2015 07:00:00,115,245
25.11.2015 07:05:00,113,199
25.11.2015 07:10:00,118,174
25.11.2015 07:15:00,116,398
25.11.2015 07:20:00,114,193
25.11.2015 07:25:00,110,163
25.11.2015 07:30:00,119,193
25.11.2015 07:35:00,112,426
25.11.2015 07:40:00,119,169
25.11.2015 07:45:00,151,660
25.11.2015 07:50:00,117,543
25.11.2015 07:55:00,1046,1542
25.11.2015 08:00:00,145,1479
25.11.2015 08:05:00,237,794
25.11.2015 08:10:00,117,507
25.11.2015 08:15:00,132,248
25.11.2015 08:20:00,161,333
25.11.2015 08:25:00,120,387
25.11.2015 08:30:00,138,327
25.11.2015 08:35:00,448,950
25.11.2015 08:40:00,176,911
25.11.2015 08:45:00,120,453
25.11.2015 08:50:00,118,218
25.11.2015 08:55:00,182,625
25.11.2015 09:00:00,116,570
25.11.2015 09:05:00,119,308
25.11.2015 09:10:00,177,731
25.11.2015 09:15:00,141,753
25.11.2015 09:20:00,160,475
25.11.2015 09:25:00,352,843
25.11.2015 09:30:00,141,917
25.11.2015 09:35:00,166,791
25.11.2015 09:40:00,141,737
25.11.2015 09:45:00,142,688
25.11.2015 09:50:00,205,933
25.11.2015 09:55:00,168,958
25.11.2015 10:00:00,159,729
25.11.2015 10:05:00,174,974
25.11.2015 10:10:00,191,791
25.11.2015 10:15:00,139,1007
25.11.2015 10:20:00,127,461
25.11.2015 10:25:00,125,444
25.11.2015 10:30:00,150,753
25.11.2015 10:35:00,185,893
25.11.2015 10:40:00,113,731
25.11.2015 10:45:00,169,598
25.11.2015 10:50:00,164,1155
25.11.2015 10:55:00,130,600
25.11.2015 11:00:00,118,570
25.11.2015 11:05:00,125,398
25.11.2015 11:10:00,113,395
25.11.2015 11:15:00,113,174
25.11.2015 11:20:00,133,256
25.11.2015 11:25:00,116,570
25.11.2015 11:30:00,115,248
25.11.2015 11:35:00,125,346
25.11.2015 11:40:00,112,551
25.11.2015 11:45:00,136,313
25.11.2015 11:50:00,127,477
25.11.2015 11:55:00,152,379
25.11.2015 12:00:00,123,567
25.11.2015 12:05:00,113,251
25.11.2015 12:10:00,113,237
25.11.2015 12:15:00,113,152
25.11.2015 12:20:00,114,117
25.11.2015 12:25:00,113,117
25.11.2015 12:30:00,114,150
25.11.2015 12:35:00,113,221
25.11.2015 12:40:00,111,163
25.11.2015 12:45:00,125,254
25.11.2015 12:50:00,114,442
25.11.2015 12:55:00,151,431
25.11.2015 13:00:00,114,696
25.11.2015 13:05:00,111,229
25.11.2015 13:10:00,146,292
25.11.2015 13:15:00,113,502
25.11.2015 13:20:00,113,172
25.11.2015 13:25:00,123,161
25.11.2015 13:30:00,153,439
25.11.2015 13:35:00,113,816
25.11.2015 13:40:00,152,532
25.11.2015 13:45:00,172,680
25.11.2015 13:50:00,186,1004
25.11.2015 13:55:00,165,1026
25.11.2015 14:00:00,137,890
25.11.2015 14:05:00,122,526
25.11.2015 14:10:00,113,540
